date,R_s,T_max,T_min,e_a
2000-01-01,13.399999618530273,17.700000762939453,13.699999809265137,1.6
2000-01-02,14.699999809265137,19.600000381469727,13.0,1.6799999237060548
2000-01-03,12.199999809265137,21.700000762939453,9.199999809265137,1.0899999618530274
2000-01-04,4.199999809265137,14.399999618530273,8.399999618530273,1.0399999618530273
2000-01-05,14.100000381469727,11.699999809265137,8.899999618530273,1.1199999809265138
2000-01-06,25.299999237060547,15.800000190734863,11.5,1.2800000190734864
2000-01-07,13.199999809265137,19.799999237060547,8.600000381469727,1.3
2000-01-08,8.0,16.700000762939453,12.100000381469727,1.3800000190734865
2000-01-09,30.600000381469727,14.300000190734863,7.699999809265137,1.1800000190734863
2000-01-10,12.399999618530273,18.0,10.800000190734863,1.3100000381469727
2000-01-11,24.0,16.0,9.699999809265137,1.1
2000-01-12,31.799999237060547,16.299999237060547,4.5,1.1399999618530274
2000-01-13,31.399999618530273,17.5,7.199999809265137,1.3
2000-01-14,28.5,22.399999618530273,8.5,1.2600000381469727
2000-01-15,9.399999618530273,18.799999237060547,12.800000190734863,1.5100000381469727
2000-01-16,23.799999237060547,16.700000762939453,12.800000190734863,1.4100000381469728
2000-01-17,27.799999237060547,19.0,9.699999809265137,1.6399999618530274
2000-01-18,18.5,22.600000381469727,13.800000190734863,1.55
2000-01-19,27.5,20.399999618530273,11.100000381469727,1.4899999618530275
2000-01-20,22.100000381469727,19.899999618530273,14.199999809265137,1.6100000381469728
2000-01-21,26.200000762939453,21.899999618530273,11.199999809265137,1.6100000381469728
2000-01-22,6.599999904632568,30.5,16.200000762939453,1.7299999237060548
2000-01-23,15.0,27.600000381469727,17.100000381469727,1.3600000381469728
2000-01-24,10.699999809265137,27.0,13.399999618530273,1.6700000762939453
2000-01-25,8.199999809265137,23.700000762939453,10.699999809265137,1.1500000000000001
2000-01-26,19.299999237060547,15.300000190734863,8.699999809265137,1.0699999809265137
2000-01-27,29.799999237060547,16.5,5.0,1.0399999618530273
2000-01-28,29.399999618530273,17.600000381469727,8.600000381469727,1.2899999618530273
2000-01-29,7.0,19.399999618530273,7.5,1.3100000381469727
2000-01-30,27.100000381469727,23.700000762939453,12.899999618530273,1.4800000190734863
2000-01-31,15.699999809265137,27.399999618530273,6.699999809265137,1.2000000000000002
2000-02-01,5.300000190734863,21.100000381469727,9.399999618530273,1.1
2000-02-02,13.199999809265137,12.300000190734863,8.600000381469727,1.05
2000-02-03,25.200000762939453,15.399999618530273,6.400000095367432,0.8899999618530274
2000-02-04,19.799999237060547,17.299999237060547,7.099999904632568,1.2199999809265138
2000-02-05,26.600000381469727,27.899999618530273,13.199999809265137,1.2000000000000002
2000-02-06,7.199999809265137,22.399999618530273,12.0,0.9899999618530274
2000-02-07,26.100000381469727,27.600000381469727,8.300000190734863,1.2100000381469727
2000-02-08,25.200000762939453,21.399999618530273,8.300000190734863,1.3199999809265137
2000-02-09,19.299999237060547,18.399999618530273,7.0,1.3800000190734865
2000-02-10,10.699999809265137,29.100000381469727,10.300000190734863,1.3399999618530274
2000-02-11,26.399999618530273,17.799999237060547,8.300000190734863,1.3800000190734865
2000-02-12,22.799999237060547,21.100000381469727,13.300000190734863,1.7200000762939454
2000-02-13,8.800000190734863,29.100000381469727,13.5,1.3600000381469728
2000-02-14,6.5,23.299999237060547,11.399999618530273,1.3
2000-02-15,9.699999809265137,15.899999618530273,11.699999809265137,1.2199999809265138
2000-02-16,6.099999904632568,16.700000762939453,13.0,1.6399999618530274
2000-02-17,6.300000190734863,18.200000762939453,14.199999809265137,1.6899999618530275
2000-02-18,7.0,17.200000762939453,12.199999809265137,1.3899999618530274
2000-02-19,21.0,16.0,11.300000190734863,1.2800000190734864
2000-02-20,23.899999618530273,18.399999618530273,7.099999904632568,1.3100000381469727
2000-02-21,8.699999809265137,20.899999618530273,11.5,1.0600000381469727
2000-02-22,20.100000381469727,22.0,9.399999618530273,1.1899999618530275
2000-02-23,24.899999618530273,19.100000381469727,4.599999904632568,1.2100000381469727
2000-02-24,23.600000381469727,18.0,7.699999809265137,1.3800000190734865
2000-02-25,23.5,32.400001525878906,12.100000381469727,1.4199999809265138
2000-02-26,5.099999904632568,19.5,12.899999618530273,1.3100000381469727
2000-02-27,10.600000381469727,19.799999237060547,8.0,1.0899999618530274
2000-02-28,24.200000762939453,27.899999618530273,7.199999809265137,1.2800000190734864
2000-02-29,19.100000381469727,26.399999618530273,11.0,1.3800000190734865
2000-03-01,16.200000762939453,23.700000762939453,13.0,1.1699999809265138
2000-03-02,20.100000381469727,18.5,6.199999809265137,1.25
2000-03-03,22.5,22.0,7.5,1.2800000190734864
2000-03-04,21.899999618530273,20.600000381469727,12.5,1.6299999237060547
2000-03-05,17.600000381469727,25.200000762939453,14.0,1.6
2000-03-06,14.399999618530273,24.0,13.399999618530273,1.5399999618530273
2000-03-07,4.800000190734863,27.299999237060547,11.100000381469727,1.2199999809265138
2000-03-08,21.5,14.199999809265137,3.5999999046325684,1.1199999809265138
2000-03-09,18.0,18.299999237060547,7.099999904632568,1.1600000381469726
2000-03-10,19.600000381469727,19.0,7.5,1.1199999809265138
2000-03-11,14.5,19.899999618530273,7.300000190734863,1.1
2000-03-12,16.399999618530273,20.399999618530273,8.699999809265137,1.4800000190734863
2000-03-13,1.100000023841858,28.200000762939453,12.800000190734863,1.4600000381469727
2000-03-14,15.100000381469727,14.199999809265137,7.0,0.9699999809265137
2000-03-15,15.0,14.100000381469727,2.700000047683716,0.8500000000000001
